Student number,Student age,Average hours spent studying,Student mark achieved,Time taken on examination (minutes)
1,22,1,129,164
2,42,5,113,168
3,21,4,87,155
4,19,2,51,117
5,42,1,88,119
6,24,2,111,174
7,25,1,120,137
8,50,4,74,132
9,25,1,2,175
10,19,1,107,124
11,48,5,56,151
12,59,4,39,147
13,54,3,125,119
14,43,4,127,158
15,24,2,21,96
16,40,1,122,93
17,45,2,107,93
18,32,4,123,171
19,32,4,60,166
20,54,5,46,111
21,26,2,50,115
22,27,4,113,168
23,42,5,30,136
24,49,2,115,146
25,30,2,130,94
26,33,5,105,153
27,59,2,95,173
28,21,2,123,107
29,29,4,8,148
30,30,4,36,91
31,56,2,112,113
32,38,1,94,143
33,60,5,47,136
34,25,5,92,139
35,42,2,32,159
36,47,5,79,144
37,26,1,100,131
38,55,3,60,173
39,51,5,43,144
40,29,1,45,180
41,57,1,60,109
42,45,1,87,155
43,51,5,16,94
44,31,1,116,149
45,37,4,37,136
46,23,2,34,96
47,59,4,4,130
48,34,3,44,97
49,22,3,70,177
50,19,5,35,97
51,53,5,111,109
52,24,5,20,108
53,58,2,16,180
54,52,3,116,100
55,43,5,33,144
56,31,1,8,157
57,35,2,24,106
58,21,3,42,92
59,26,1,78,118
60,41,3,18,115
61,25,4,113,179
62,38,4,129,132
63,39,5,63,179
64,41,4,99,108
65,37,1,90,97
66,36,2,27,144
67,29,3,24,90
68,18,2,108,115
69,28,2,120,131
70,36,5,54,163
71,23,1,66,106
72,34,5,70,169
73,35,5,94,132
74,37,1,45,108
75,27,3,63,108
76,56,1,127,104
77,35,5,90,173
78,56,4,32,143
79,23,3,33,136
80,44,2,54,126
81,55,2,111,164
82,47,1,91,159
83,48,2,87,110
84,18,1,62,95
85,27,4,68,160
86,38,3,69,132
87,41,2,118,154
88,21,3,85,105
89,57,2,67,111
90,27,4,14,120
91,21,1,78,96
92,18,3,16,169
93,23,3,116,107
94,59,2,0,145
95,35,4,42,112
96,24,1,1,140
97,31,5,5,160
98,54,3,125,112
99,39,1,115,171
100,29,1,83,152
101,21,3,16,93
102,52,5,4,145
103,21,1,50,112
104,31,5,63,124
105,31,2,28,175
106,32,1,126,102
107,28,4,2,115
108,25,3,100,96
109,59,4,5,106
110,21,4,8,117
111,40,1,24,166
112,51,2,50,142
113,21,2,43,165
114,45,2,105,133
115,24,3,113,156
116,49,3,117,127
117,28,1,65,105
118,37,4,0,94
119,55,3,65,154
120,49,2,32,126
121,54,3,50,97
122,30,2,62,179
123,35,1,55,94
124,19,1,129,102
125,47,5,8,124
126,47,4,42,126
127,37,4,116,175
128,24,3,118,159
129,40,1,110,101
130,39,2,129,144
131,41,4,109,171
132,35,3,90,94
133,34,5,85,141
134,32,3,66,153
135,42,5,87,116
136,27,1,74,172
137,25,1,87,170
138,30,5,98,116
139,31,1,21,174
140,24,1,77,140
141,28,1,63,114
142,48,4,80,112
143,60,3,41,121
144,59,3,113,151
145,34,5,100,102
146,58,2,129,180
147,35,3,2,175
148,35,3,21,134
149,47,4,8,159
150,47,3,103,166
