Student number,Student age,Average hours spent studying,Student mark achieved,Time taken on examination (minutes)
1,31,3,127,140
2,51,4,125,94
3,34,2,109,96
4,35,4,38,137
5,27,3,14,133
6,43,1,20,139
7,19,4,109,134
8,49,5,97,155
9,45,1,15,130
10,30,4,112,133
11,53,4,43,153
12,60,4,84,175
13,27,5,63,141
14,59,4,12,168
15,39,5,43,159
16,20,1,83,124
17,30,2,100,139
18,54,2,22,95
19,29,2,62,160
20,40,3,35,90
21,34,2,29,101
22,26,5,21,109
23,20,5,37,148
24,19,3,21,163
25,45,2,67,138
26,42,4,20,107
27,43,2,52,130
28,23,4,40,95
29,25,1,78,153
30,42,2,128,173
31,30,5,61,96
32,29,5,87,134
33,54,5,123,175
34,60,3,69,132
35,44,2,107,113
36,45,4,116,143
37,32,2,54,91
38,32,1,29,106
39,34,5,75,155
40,58,1,48,168
41,20,3,48,119
42,25,3,100,146
43,25,5,81,151
44,47,4,27,147
45,27,2,102,179
46,32,1,73,128
47,50,2,106,151
48,52,1,59,155
49,36,1,116,140
50,26,4,117,101
51,36,4,43,140
52,27,4,20,101
53,49,5,58,90
54,29,4,98,158
55,42,2,113,93
56,24,1,56,157
57,22,3,76,158
58,30,1,66,138
59,23,4,50,159
60,51,5,110,129
61,38,3,61,93
62,26,1,93,137
63,54,5,87,100
64,33,1,33,99
65,49,5,123,168
66,39,1,104,151
67,35,1,105,176
68,33,5,124,132
69,29,2,88,168
70,35,1,1,112
71,18,3,83,115
72,26,1,104,95
73,21,4,79,129
74,42,1,75,180
75,27,4,25,138
76,30,3,126,99
77,46,2,75,137
78,19,5,62,100
79,25,2,37,177
80,23,1,55,121
81,24,3,110,180
82,29,4,91,170
83,48,5,90,123
84,26,5,114,180
85,25,3,25,143
86,22,5,65,143
87,23,3,112,122
88,21,3,90,143
89,35,3,34,97
90,43,2,34,90
91,27,2,58,170
92,43,1,2,175
93,30,4,43,125
94,21,2,124,122
95,21,5,72,172
96,26,1,32,161
97,52,2,60,101
98,20,4,2,99
99,54,5,118,134
100,48,1,49,151
101,25,4,83,176
102,52,3,109,130
103,18,5,27,127
104,30,5,107,161
105,32,1,110,105
106,32,1,129,94
107,40,3,33,140
108,39,5,117,172
109,19,1,28,161
110,21,5,49,170
111,39,1,9,162
112,46,1,44,148
113,43,5,86,95
114,46,1,72,138
115,33,2,77,153
116,43,5,49,164
117,50,3,42,105
118,49,2,1,136
119,43,5,121,121
120,47,4,56,103
121,34,5,91,106
122,38,1,11,137
123,59,5,91,145
124,44,5,78,120
125,35,2,30,177
126,22,4,24,138
127,39,5,56,172
128,18,5,42,140
129,53,1,112,132
130,23,2,92,168
131,35,2,5,95
132,38,2,9,164
133,33,1,5,151
134,43,2,72,97
135,35,2,52,126
136,60,4,93,99
137,20,1,116,94
138,49,3,55,129
139,27,2,82,109
140,32,4,97,146
141,48,5,95,98
142,20,3,84,167
143,57,2,57,97
144,35,1,77,97
145,43,2,67,150
146,22,2,98,135
147,29,2,2,156
148,19,1,8,177
149,25,3,27,136
150,37,4,54,139
